fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
209046,NFO,Hudson-Odoi,M,3.5,4.01,3.52,3.83,2.95,7.0,6.23,6.4,6.39,3.28,6.56,3.6,6.11,59.88,17.11
85633,NFO,Sels,G,3.5,3.93,3.29,4.01,2.96,6.97,6.85,5.68,6.32,3.34,6.66,4.31,5.41,59.74,17.07
427623,CRY,Richards,D,3.5,2.83,4.25,3.27,5.42,6.17,6.83,6.24,6.01,2.69,6.03,3.76,6.01,59.51,17.0
121160,MCI,Ederson M.,G,4.0,4.09,3.96,3.5,6.51,5.43,7.2,3.48,6.72,3.41,6.28,3.31,5.51,59.4,14.85
433036,MCI,Reijnders,M,4.5,4.03,4.18,3.59,6.93,4.6,6.83,3.31,6.51,3.14,6.65,3.19,6.34,59.3,13.18
456512,NFO,Ndoye,M,3.0,3.84,3.42,3.88,2.87,6.79,5.98,6.47,6.36,3.41,6.55,3.47,6.0,59.06,19.69
441266,LIV,Gravenberch,M,4.0,0.0,3.78,3.31,7.37,6.69,6.97,3.21,7.01,3.46,6.77,3.15,6.82,58.52,14.63
209244,MCI,Foden,M,5.0,2.9,3.65,3.31,6.89,6.17,7.46,3.4,6.13,2.96,6.42,2.96,6.2,58.44,11.69
169528,FUL,Robinson,D,4.0,1.98,6.95,3.02,9.39,4.74,4.03,4.06,3.81,3.78,5.2,4.77,6.41,58.15,14.54
494521,BOU,Truffert,D,3.0,3.0,8.48,4.4,6.92,4.3,4.85,4.78,3.99,4.95,3.04,3.97,5.33,58.01,19.34
216646,BRE,Wissa,F,4.5,3.05,6.59,4.87,7.28,4.27,5.0,4.28,4.75,4.25,4.35,4.82,4.32,57.85,12.86
440993,EVE,Ndiaye,M,4.0,4.56,7.35,4.45,6.34,3.82,4.74,4.36,3.63,4.82,5.18,4.33,4.26,57.83,14.46
226944,AVL,Kamara,M,3.5,3.52,3.19,3.3,3.27,6.81,6.11,6.51,6.5,2.99,6.06,3.23,6.26,57.76,16.5
444463,CHE,Fofana,D,3.5,2.03,3.13,3.75,5.87,5.37,6.54,2.8,6.32,4.76,5.97,3.85,7.01,57.4,16.4
449434,NEW,Elanga,M,4.0,3.68,3.32,3.53,6.74,6.11,5.81,3.21,5.93,3.19,6.33,3.32,6.17,57.36,14.34
98747,NEW,Pope,G,3.5,3.41,3.44,3.89,6.58,5.65,5.89,4.11,5.65,3.92,5.77,3.31,5.59,57.2,16.34
204646,AVL,Malen,F,3.0,4.39,4.08,3.84,3.29,7.0,4.64,6.41,6.3,2.62,5.21,3.2,5.88,56.87,18.96
511499,TOT,Tel,F,3.5,4.3,2.98,3.66,6.78,4.9,6.94,3.43,6.57,3.13,6.12,3.18,4.67,56.65,16.19
224967,EVE,Mykolenko,D,3.5,4.66,8.67,4.33,7.56,2.64,4.65,4.01,2.77,4.18,5.05,4.15,3.68,56.37,16.1
67089,NEW,Dúbravka,G,2.0,2.28,3.38,3.91,6.54,5.6,5.75,4.16,5.51,4.01,5.83,3.33,5.64,55.94,27.97
448089,WOL,Gomes,M,3.0,4.26,6.74,4.42,6.12,4.66,4.49,4.29,4.88,4.66,3.78,3.54,3.88,55.71,18.57
481655,ARS,Zubimendi,M,4.0,3.31,3.51,3.01,6.05,4.64,6.19,3.42,6.0,3.19,6.35,3.52,6.4,55.59,13.9
98980,AVL,Martinez,G,4.0,0.0,3.31,3.76,3.88,6.74,6.27,7.19,5.67,3.32,5.2,3.8,6.35,55.48,13.87
122806,AVL,McGinn,M,4.0,2.98,2.97,2.97,2.92,6.61,5.84,6.42,6.22,2.84,5.81,3.13,6.29,55.01,13.75
172649,CRY,Henderson,G,3.5,2.91,4.01,3.07,4.37,5.65,5.1,6.01,5.83,2.69,5.86,3.48,5.73,54.72,15.63
244954,AVL,Pau,D,3.5,3.05,2.85,3.2,3.43,7.03,5.38,7.4,5.67,2.5,4.84,3.09,6.13,54.57,15.59
50175,BHA,Welbeck,F,3.5,3.68,7.08,3.76,7.04,4.74,3.54,3.9,3.94,3.66,4.22,3.74,4.32,53.63,15.32
596777,MUN,Dorgu,D,3.5,3.75,6.67,5.84,4.87,3.62,3.7,5.89,2.6,4.21,3.88,3.89,4.69,53.61,15.32
480455,EVE,Branthwaite,D,3.5,4.48,8.31,4.03,7.15,2.4,4.45,3.81,2.56,3.91,4.9,4.08,3.51,53.58,15.31
202993,TOT,Bentancur,M,3.0,3.82,3.01,3.1,6.12,5.62,6.02,3.14,5.85,2.97,5.62,3.03,5.28,53.58,17.86
535301,BHA,Baleba,M,3.5,4.12,7.69,3.74,6.8,4.43,3.47,3.93,3.79,3.81,4.01,3.55,3.82,53.17,15.19
230376,WOL,J.Arias,M,3.0,3.48,6.0,4.1,5.64,4.38,4.35,4.2,4.91,4.48,3.81,3.53,4.04,52.92,17.64
154296,TOT,J.Palhinha,M,3.5,2.4,2.53,2.95,6.43,6.27,6.0,3.38,5.75,3.06,5.51,3.16,5.4,52.84,15.1
78916,NEW,Burn,D,4.0,3.19,2.73,3.92,5.99,6.72,4.75,3.84,4.8,3.7,5.36,3.06,4.6,52.67,13.17
433312,WOL,Munetsi,M,2.5,4.0,6.18,4.04,5.51,4.34,4.19,4.04,4.61,4.56,3.62,3.48,3.89,52.45,20.98
232892,FUL,Bassey,D,3.0,3.56,8.17,2.81,7.63,3.82,3.3,3.25,3.2,2.98,4.35,4.0,5.25,52.31,17.44
235826,LEE,Piroe,F,2.5,4.25,5.6,4.12,5.56,3.93,4.12,4.54,4.17,4.4,3.79,3.82,3.96,52.26,20.9
80801,EVE,Gana,M,3.5,4.21,7.5,3.93,6.47,3.62,4.08,3.69,3.49,4.03,4.1,3.46,3.55,52.14,14.9
592031,BHA,Minteh,M,3.5,4.44,6.6,3.74,5.74,4.46,3.49,3.98,3.89,3.77,4.11,3.55,3.94,51.73,14.78
221466,BOU,Senesi,D,2.5,2.49,8.88,3.56,7.14,3.63,4.22,4.14,3.29,4.15,2.53,3.23,4.41,51.68,20.67
496221,CRY,Wharton,M,3.5,2.96,3.12,3.13,3.71,5.6,5.76,5.28,5.38,2.84,5.39,3.17,5.25,51.59,14.74
226182,LEE,Bogle,D,2.5,5.03,5.19,3.63,5.47,4.0,3.79,4.05,4.92,4.49,3.27,3.56,3.7,51.11,20.44
184254,TOT,Vicario,G,3.5,4.47,2.33,3.42,5.1,4.82,5.77,3.44,5.23,3.43,5.09,3.49,4.45,51.05,14.59
465730,BHA,De Cuyper,D,3.0,4.68,7.17,3.42,5.35,4.32,2.93,4.06,3.75,3.56,4.5,3.33,3.89,50.96,16.99
