fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
208706,NEW,Bruno G.,M,9.6,4.0,0.0,0.0,0.0,3.8,0.0,0.0,4.06,0.0,0.0,3.71,3.29,0.0,0.0,3.6,0.0,3.82,0.0,0.0,4.22,0.0,0.0,0.0,4.65,0.0,3.33,0.0,0.0,3.35,41.82,4.36
204480,ARS,Rice,M,9.2,3.74,0.0,0.0,0.0,0.0,4.25,4.59,0.0,0.0,5.14,0.0,0.0,3.74,0.0,0.0,3.04,0.0,3.64,0.0,3.25,0.0,0.0,3.52,0.0,0.0,0.0,3.51,0.0,3.36,41.77,4.54
232413,ARS,Eze,M,10.7,3.86,0.0,0.0,0.0,0.0,4.15,4.45,0.0,0.0,4.54,0.0,0.0,4.21,0.0,0.0,3.14,0.0,3.84,0.0,3.29,0.0,0.0,3.71,0.0,0.0,0.0,3.13,0.0,3.44,41.76,3.9
224024,WHU,L.Paquetá,M,8.1,0.0,0.0,4.47,4.14,0.0,0.0,0.0,3.95,0.0,4.77,0.0,3.59,0.0,0.0,0.0,3.39,0.0,0.0,3.51,0.0,3.5,0.0,0.0,3.69,0.0,3.2,0.0,0.0,3.56,41.76,5.16
242882,BOU,Diakité,D,6.7,3.53,0.0,0.0,0.0,0.0,4.55,0.0,2.08,0.0,0.0,3.14,4.36,0.0,0.0,5.26,0.0,4.48,0.0,0.0,2.83,0.0,0.0,0.0,0.0,2.91,5.25,0.0,0.0,3.15,41.54,6.2
85633,NFO,Sels,G,7.8,3.8,0.0,0.0,0.0,0.0,3.45,3.97,0.0,0.0,0.0,4.69,2.72,0.0,0.0,0.0,3.88,0.0,3.89,0.0,3.87,0.0,0.0,0.0,3.83,0.0,0.0,0.0,3.63,3.41,41.15,5.28
200720,BRE,Kelleher,G,6.8,0.0,0.0,3.72,0.0,3.33,0.0,3.22,0.0,0.0,0.0,3.7,3.22,0.0,0.0,5.16,0.0,0.0,2.83,0.0,3.16,0.0,0.0,0.0,4.68,0.0,3.9,0.0,0.0,4.0,40.9,6.01
209036,CRY,Guéhi,D,7.7,3.76,0.0,0.0,0.0,0.0,2.16,4.12,0.0,0.0,0.0,3.6,4.09,0.0,0.0,0.0,3.73,0.0,5.35,0.0,0.0,3.51,0.0,0.0,2.68,0.0,0.0,4.28,0.0,3.58,40.87,5.31
470313,NEW,Woltemade,F,8.3,4.29,0.0,0.0,0.0,4.34,0.0,0.0,3.95,0.0,0.0,3.38,2.89,0.0,0.0,3.01,0.0,3.51,0.0,0.0,3.72,0.0,0.0,0.0,3.7,0.0,3.96,0.0,0.0,4.0,40.76,4.91
494521,BOU,Truffert,D,6.7,3.08,0.0,0.0,0.0,0.0,4.4,0.0,2.31,0.0,0.0,3.24,4.34,0.0,0.0,4.73,0.0,4.19,0.0,0.0,3.11,0.0,0.0,0.0,0.0,3.05,5.05,0.0,0.0,3.24,40.75,6.08
