Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1000694,3627958,Timber,Jurrien,ARS,expected,defender,6.1,9.59,0.03
1000694,3628155,Kerkez,Milos,LIV,expected,defender,6,17.51,0.05
1000694,3628161,Amdouni,Zeki,BUR,injured,forward,5.5,1.31,0.00
1000694,3628567,Trafford,James,MCI,unexpected,goalkeeper,4.5,1.82,0.00
1000694,3628568,Doherty,Matt,WOL,possible,defender,4.4,0.14,0.00
1000694,3628750,Aina,Ola,NTG,unexpected,defender,5,3.89,0.00
1000694,3629364,Julio,Igor,WHU,unexpected,defender,4.5,0.01,0.00
1000694,3629422,Maatsen,Ian,AV,possible,defender,5,1.01,0.00
1000694,3629982,Bassey,Calvin,FUL,expected,defender,4.4,0.45,0.00
1000694,3631216,Ugochukwu,Lesley,BUR,expected,midfielder,4.5,0.03,0.00
1000694,3634178,Disasi,Axel,CHE,unexpected,defender,4.5,0.06,0.00
1000694,3634364,Gvardiol,Josko,MCI,injured,defender,6.5,17.03,0.14
1000694,3638005,van de Ven,Micky,TOT,expected,defender,5,7.65,0.06
1000694,3638248,Barkley,Ross,AV,injured,midfielder,4.5,0.05,0.00
1000694,3638526,Scott,Alex,BOU,possible,midfielder,4.5,0.15,0.00
1000694,3638859,McAtee,James,NTG,possible,midfielder,5.5,0.38,0.00
1000694,3638871,Odobert,Wilson,TOT,unexpected,midfielder,5.5,0.59,0.00
1000694,3639047,Traore,Adama,FUL,unexpected,midfielder,5.5,0.64,0.00
1000694,3639127,Doak,Ben,BOU,unexpected,midfielder,5,0.03,0.00
1000694,3643150,Endo,Wataru,LIV,unexpected,midfielder,4.5,0.02,0.00
1000694,3645684,Rak-Sakyi,Sam,CRY,unexpected,midfielder,4.5,0.01,0.00
1000694,3646515,Delcroix,Hannes,BUR,unexpected,defender,4,0.09,0.00
1000694,3646579,Mavropanos,Konstantinos,WHU,expected,defender,4.5,0.03,0.00
1000694,3647914,Doku,Jeremy,MCI,expected,midfielder,7.5,4.27,0.05
1000694,3648390,Petrovic,Djordje,BOU,expected,goalkeeper,5,3.60,0.00
1000694,3649502,Kudus,Mohammed,TOT,expected,midfielder,7.5,10.36,0.37
1000694,3650885,Beto,Beto,EVE,expected,forward,6.5,4.69,0.03
1000694,3651385,Baleba,Carlos,BHA,expected,midfielder,4.5,1.42,0.00
1000694,3651663,Bueno,Santiago,WOL,expected,defender,4.5,0.03,0.00
1000694,3651901,Murillo,Murillo,NTG,expected,defender,5,4.18,0.02
1000694,3651912,Irving,Andrew,WHU,unexpected,midfielder,4.5,0.01,0.00
1000694,3651913,Bayindir,Altay,MUN,unexpected,goalkeeper,4.5,0.48,0.00
1000694,3652110,Dominguez,Nicolas,NTG,injured,midfielder,4.5,0.04,0.00
1000694,3652436,Gravenberch,Ryan,LIV,expected,midfielder,5,0.22,0.00
1000694,3652439,Tresor,Mike,BUR,unexpected,midfielder,5,0.02,0.00
1000694,3652440,Bellegarde,Jeanricner,WOL,possible,midfielder,5.5,2.42,0.00
1000694,3652441,Sangare,Ibrahim,NTG,expected,midfielder,4.5,0.08,0.00
1000694,3652667,Bobb,Oscar,MCI,expected,midfielder,5.5,0.41,0.00
1000694,3663310,Mejbri,Hannibal,BUR,expected,midfielder,4.5,0.08,0.00
1000694,3674479,Hinshelwood,Jack,BHA,expected,midfielder,5.5,1.18,0.00
1000694,3709125,Miley,Lewis,NEW,unexpected,midfielder,4.5,0.04,0.00
1000694,3715024,Mainoo,Kobbie,MUN,possible,midfielder,4.5,0.50,0.00
1000694,3737495,Mosquera,Yerson,WOL,unexpected,defender,4,0.16,0.00
1000694,3744084,Bradley,Conor,LIV,unexpected,defender,5,0.35,0.00
1000694,3745030,Dragusin,Radu,TOT,injured,defender,4.5,0.02,0.00
1000694,3757741,Valdimarsson,Hakon Rafn,BRE,unexpected,goalkeeper,4,0.74,0.00
1000694,3762190,Munoz,Daniel,CRY,expected,defender,5.5,14.31,0.04
1000694,3762913,Rogers,Morgan,AV,expected,midfielder,7.5,7.81,0.09
1000694,3763100,Wharton,Adam,CRY,unexpected,midfielder,4.5,1.08,0.00
1000694,3763423,Esteve,Maxime,BUR,expected,defender,4,6.35,0.01
1000694,3763425,Unal,Enes,BOU,injured,forward,5.5,1.40,0.00
1000694,3763426,Sels,Matz,NTG,expected,goalkeeper,5.5,15.62,0.03
1000694,3879483,van den Berg,Sepp,BRE,expected,defender,4.5,0.23,0.00
1000694,3879488,Guiu,Marc,CHE,unexpected,forward,5,3.43,0.00
1000694,3879490,Bergvall,Lucas,TOT,possible,midfielder,4.5,0.25,0.00
1000694,3879494,Minteh,Yankuba,BHA,expected,midfielder,6,5.24,0.00
1000694,3879497,Riad,Chadi,CRY,injured,defender,4.5,0.01,0.00
1000694,3879498,Kamada,Daichi,CRY,expected,midfielder,5,0.07,0.00
1000694,3879499,Guilherme Lira,Luis,WHU,injured,midfielder,5,0.02,0.00
1000694,3879502,King,Tom,EVE,unexpected,goalkeeper,4,0.16,0.00
1000694,3879504,Gomes,Rodrigo,WOL,unexpected,midfielder,4.5,0.07,0.00
1000694,3879506,Konak,Yunus Emre,BRE,unexpected,midfielder,4.5,0.01,0.00
1000694,3879507,Thiago,Igor,BRE,expected,forward,5.5,8.80,0.02
1000694,3879516,Hermansen,Mads,WHU,expected,goalkeeper,4.5,0.21,0.00
1000694,3879523,Gray,Archie,TOT,unexpected,midfielder,4.5,0.08,0.00
1000694,3879559,Tuanzebe,Axel,BUR,unexpected,defender,4,0.72,0.00
1000694,3879579,Giraud-Hutchinson,Omari,NTG,unexpected,midfielder,6,0.00,0.00
1000694,3893792,Larsen,Jorgen,WOL,possible,forward,6.5,4.58,0.01
